appid,title,contents,date,tags
578080,PUBG Global Series 9 Group Stage DAY 2,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760429149,
578080,October Store Update 2025,{STEAM_CLAN_IMAGE}/27971017/a9293a4267f52c884556afc33a76a85082cd23e1.png Read the full announcement here!,1760425205,
578080,Patch Notes - Update 38.1,{STEAM_CLAN_IMAGE}/27971017/1c239ef632cf27e4c9013cc933f81613ce671a03.jpg Read the full announcement here!,1760421602,
578080,Map Service Report - Update 38.1,{STEAM_CLAN_IMAGE}/27971017/77ae26368fb57beaca546055e8852cdc86473044.jpg Read the full announcement here!,1760421602,
578080,PUBG Global Series 9 Group Stage DAY 1,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760346059,
578080,Dev Letter: DMR Rebalance Follow-Up,{STEAM_CLAN_IMAGE}/27971017/6d7fd1c434f0b931dae408be3a6075947c751ef5.jpg Read the full announcement here!,1760338853,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (09/29~10/05),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1759906855,
578080,Nightmare Overrun,"MissionsClear 1 stage in Hungers Left Behind.Accumulate a total of 30,000 points in Hungers Left Behind.Total Obtainable RewardsLucky G-Coin Box (100-10000 G-Coin) (3 Days) (x2)Can be used for 3 days from the time the reward is claimed.Hesperia Project Crate (x1)Event Schedule (UTC)PC & Console: October 2, 07:00 - October 14, 07:00",1759381258,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (09/22~09/28),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1759302052,
578080,Dev Letter: Fighting Cheats Outside the Game,{STEAM_CLAN_IMAGE}/27971017/bec6b560d3e8b6691a748abf5602af472342b702.png Read the full announcement here!,1758870052,
578080,Endless Survival,"MissionsAccumulate a total of 10,000 points in Survivors Left Behind.Accumulate a total of 50,000 points in Survivors Left Behind.Accumulate a total of 70,000 points in Survivors Left Behind.Accumulate a total of 100,000 points in Survivors Left Behind.Maintain a Level 4 Hunger Gauge buff for 5 minutes in Survivors Left Behind.Get a total of 20 Hunger kills with melee weapons in Survivors Left Behind.Total Obtainable RewardsDusty Survivor Crate (x1)Enduring Survivor Crate (x1)Resilient Survivor Crate (x1)Unbreakable Survivor Crate (x1)BP (x5,000)Event Schedule (UTC)PC & Console: September 25, 07:00 - October 14, 07:00",1758776434,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (09/15~09/21),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1758697229,
578080,Check-in Event #2,"Check-in Dinner 2MissionEnter the lobby daily. (Resets every day at 02:00 UTC.)Total Obtainable RewardsBP (x2,500)Hunter’s Chest (x1)Key (x1)G-DRAGON Voucher (x5)Event Schedule (UTC)PC: September 24, 02:00 - October 8, 02:00Console: October 2, 02:00 - October 16, 02:00",1758672008,
578080,Recent Anti-Cheat Measures on Console Platforms,{STEAM_CLAN_IMAGE}/27971017/505f3c10e495ec2d2fdb3ba783a4597440ee12a1.jpg Read the full announcement here!,1758265207,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (09/08~09/14),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1758092445,
